Date,Company Name,Sector,Summary,Amount
2024-09-16,Slingshot Aerospace,Aerospace/Technology,"Slingshot Aerospace provides AI-powered solutions for satellite tracking, space traffic coordination, and space modeling and simulation, transforming disparate space data into a common operating picture of the space domain.",$30M
2024-09-16,Smalt,Energy and Clean-tech,"Smalt is a talent-supply and labor productivity engine company that provides a development and technology services platform for the green trades sector, offering subcontracting services and full-service solutions for installation and servicing.",€8M
2024-09-16,Shenandoah,Infrastructure Services,"Shenandoah is a provider of underground infrastructure services whose primary capabilities include sanitary and stormwater pipe cleaning, inspection, and pipe rehabilitation services, serving public and private customers across the state.",
2024-09-16,Saber Interactive,Entertainment and Gaming,"Saber Interactive is a Fort Lauderdale, FL-based company specializing in interactive entertainment and video game development, with 13 tightly integrated studios located across Western and Eastern Europe, the United States, and South America.",
2024-09-16,c/side,Cybersecurity,"c/side is a cybersecurity startup focused on browser-side detection and protection. With an advanced proxy service and an AI-driven detection engine, the company offers a comprehensive toolkit to identify and neutralize malicious scripts in real-time.",$6M
2024-09-16,Ledgebrook,InsurTech,"Ledgebrook is an InsurTech MGA that delivers a fast and easy quoting experience for wholesale brokers, with a focus on expanding and embarking on new projects.",$17M
2024-09-16,Venttup,Engineering Services,"Venttup is a Chennai, India-based B2B engineering services startup that is building a global network of scalable manufacturing capacities with India at its epicentre. It assists large enterprises in outsourcing their engineering needs while enabling them to reduce their carbon footprint through cloud manufacturing and sustainable practices.",Undisclosed
2024-09-16,Samp,Deep Tech/Environmental Sustainability,"Samp is a deeptech company that accelerates the transformation and decarbonization of industrial sites thanks to a digital twin of facilities, generated in just a few days directly from the field.",€6M
2024-09-16,Kohlberg & Company,Private Equity,"Kohlberg & Company is a NYC-based private equity firm specializing in middle market investing, closed on $4.3 Billion for Kohlberg Investors X.",$4.3 Billion
2024-09-16,Datassential,Food and Beverage,"Datassential is a provider of a global food and beverage intelligence platform offering a guidance on trends, competitive benchmarking, and sales intelligence through a suite of AI-powered solutions, an intuitive UI, and proprietary data, empowering insights and sales intelligence for brands.",
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
